
elliott	Elliott Investment Management
tiger-global	Tiger Global Management
coatue	Coatue Management
pershing-square	Pershing Square Capital
third-point	Third Point LLC
baupost	Baupost Group
alpari	Alpari
exness	Exness
xm-group	XM Group
hotforex	HotForex
fxpro	FxPro
tickmill	Tickmill
ic-markets	IC Markets
pepperstone	Pepperstone
oanda	OANDA
forex-com	FOREX.com
etoro	eToro
avatrade	AvaTrade
roboforex	RoboForex
justforex	JustForex
tradersway	TradersWay
fxchoice	FXChoice
libertex	Libertex
fp-markets	FP Markets
